cell,size,L,arch,scheme,seed,iter,frac,loss
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,4462,0.05509,2.8129
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,4542,0.05607,2.8031
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,4573,0.05646,2.8717
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,4736,0.05847,2.7952
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,4711,0.05816,2.8592
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,4940,0.06099,2.7784
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,4832,0.05965,2.8571
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,4955,0.06117,2.7618
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,4960,0.06123,2.8433
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,5239,0.06468,2.7538
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,5187,0.06404,2.8306
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,5359,0.06616,2.7475
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,5387,0.06651,2.8127
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,5406,0.06674,2.7424
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,5516,0.0681,2.8147
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,5670,0.07,2.8023
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,5567,0.06873,2.7371
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,5733,0.07078,2.7862
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,5830,0.07198,2.7223
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,5869,0.07246,2.8009
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,5968,0.07368,2.7127
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,6131,0.07569,2.7145
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,6034,0.07449,2.7754
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,6281,0.07754,2.7054
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,6243,0.07707,2.7675
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,6426,0.07933,2.7642
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,6440,0.07951,2.6922
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,6590,0.08136,2.6795
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,6518,0.08047,2.7522
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,6697,0.08268,2.6864
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,6681,0.08248,2.7471
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,6886,0.08501,2.6775
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,6755,0.0834,2.7495
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,7003,0.08646,2.7341
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,7007,0.08651,2.6795
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,7065,0.08722,2.7334
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,7188,0.08874,2.6742
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,7308,0.09022,2.6605
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,7216,0.08909,2.734
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,7457,0.09206,2.6667
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,7497,0.09256,2.728
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,7623,0.09411,2.6565
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,7506,0.09267,2.7369
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,7664,0.09462,2.7199
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,7795,0.09623,2.651
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,7897,0.09749,2.6486
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,7806,0.09637,2.7198
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,7959,0.09826,2.7067
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,8039,0.09925,2.6414
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,8130,0.10037,2.7064
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,8186,0.10106,2.6472
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,8310,0.10259,2.7072
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,8370,0.10333,2.6389
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,8443,0.10423,2.7093
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,8407,0.10379,2.6349
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,8605,0.10623,2.6955
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,8633,0.10658,2.6353
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,8753,0.10806,2.6972
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,8809,0.10875,2.6217
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,8989,0.11098,2.6235
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,8978,0.11084,2.6941
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,9080,0.1121,2.6231
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,9118,0.11257,2.6916
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,9255,0.11426,2.6797
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,9297,0.11478,2.6146
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,9339,0.1153,2.6127
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,9408,0.11615,2.6851
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,9520,0.11753,2.6789
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,9590,0.1184,2.6077
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,9694,0.11968,2.6736
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,9687,0.11959,2.6095
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,9790,0.12086,2.6686
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,9838,0.12146,2.61
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,9969,0.12307,2.6771
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,10047,0.12404,2.6089
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,10093,0.1246,2.5857
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,10120,0.12494,2.6671
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,10215,0.12611,2.667
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,10260,0.12667,2.5992
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,10491,0.12952,2.5964
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,10476,0.12933,2.6629
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,10630,0.13123,2.5956
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,10540,0.13012,2.6749
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,10776,0.13304,2.6585
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,10654,0.13153,2.5932
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,10846,0.1339,2.6615
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,10841,0.13384,2.5933
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,11037,0.13626,2.6559
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,10974,0.13548,2.5934
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,11101,0.13705,2.5862
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,11113,0.1372,2.6646
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,11251,0.1389,2.5894
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,11273,0.13917,2.6525
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,11497,0.14194,2.6467
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,11426,0.14106,2.5774
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,11639,0.14369,2.6425
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,11562,0.14274,2.5823
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,11732,0.14484,2.575
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,11753,0.1451,2.6534
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,11994,0.14807,2.5734
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,11963,0.14769,2.6503
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,12142,0.1499,2.5727
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,12029,0.14851,2.6365
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,12258,0.15133,2.5658
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,12250,0.15123,2.6302
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,12378,0.15281,2.6314
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,12370,0.15272,2.5729
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,12504,0.15437,2.56
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,12568,0.15516,2.6293
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,12674,0.15647,2.6356
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,12735,0.15722,2.5672
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,12777,0.15774,2.5646
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,12865,0.15883,2.6366
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,12953,0.15991,2.5632
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,12994,0.16042,2.6342
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,13091,0.16162,2.5549
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,13156,0.16242,2.635
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,13262,0.16373,2.6217
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,13219,0.1632,2.5635
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,13353,0.16485,2.5571
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,13444,0.16598,2.6154
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,13534,0.16709,2.5577
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,13524,0.16696,2.6179
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,13746,0.1697,2.6249
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,13730,0.16951,2.5533
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,13814,0.17054,2.6216
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,13922,0.17188,2.5521
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,14088,0.17393,2.6181
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,14035,0.17327,2.548
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,14103,0.17411,2.5487
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,14180,0.17506,2.6177
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,14275,0.17623,2.6173
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,14277,0.17626,2.5462
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,14500,0.17901,2.6112
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,14530,0.17938,2.5518
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,14593,0.18016,2.5499
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,14555,0.17969,2.6144
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,14757,0.18219,2.607
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,14779,0.18246,2.5486
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,14981,0.18495,2.5384
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,14885,0.18377,2.6159
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,15116,0.18662,2.6022
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,15104,0.18647,2.541
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,15274,0.18857,2.6062
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,15270,0.18852,2.5416
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,15429,0.19048,2.5363
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,15358,0.1896,2.6123
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,15577,0.19231,2.6008
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,15478,0.19109,2.5414
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,15638,0.19306,2.5972
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,15722,0.1941,2.5382
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,15751,0.19446,2.5364
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,15842,0.19558,2.611
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,15952,0.19694,2.5345
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,15934,0.19672,2.6024
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,16152,0.19941,2.5918
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,16086,0.19859,2.524
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,16265,0.2008,2.5993
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,16328,0.20158,2.5265
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,16411,0.2026,2.5982
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,16450,0.20309,2.5162
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,16580,0.20469,2.586
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,16649,0.20554,2.5339
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,16670,0.2058,2.5927
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,16799,0.2074,2.5296
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,16845,0.20796,2.5215
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,16841,0.20791,2.5866
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,17046,0.21044,2.5218
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,17088,0.21096,2.594
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,17142,0.21163,2.5233
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,17117,0.21132,2.6013
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,17386,0.21464,2.5149
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,17273,0.21325,2.5855
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,17529,0.21641,2.5144
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,17514,0.21622,2.5872
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,17584,0.21709,2.5153
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,17662,0.21805,2.59
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,17834,0.22017,2.5159
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,17762,0.21928,2.5762
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,17908,0.22109,2.5889
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,17922,0.22126,2.522
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,18134,0.22388,2.518
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,18011,0.22236,2.5944
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,18200,0.22469,2.5097
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,18290,0.2258,2.5758
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,18354,0.22659,2.5902
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,18303,0.22596,2.5125
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,18580,0.22938,2.5175
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,18597,0.22959,2.5745
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,18665,0.23043,2.5777
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,18749,0.23147,2.5104
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,18802,0.23212,2.5841
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,18829,0.23246,2.5102
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,18983,0.23436,2.5101
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,18948,0.23393,2.5681
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,19111,0.23594,2.5852
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,19176,0.23674,2.5117
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,19328,0.23862,2.5711
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,19349,0.23888,2.4968
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,19426,0.23983,2.5067
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,19417,0.23972,2.5721
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,19563,0.24152,2.511
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,19550,0.24136,2.578
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,19707,0.2433,2.4931
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,19740,0.2437,2.5712
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,19857,0.24515,2.4966
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,19848,0.24504,2.5772
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,20070,0.24778,2.5729
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,20060,0.24765,2.5023
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,20134,0.24857,2.5665
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,20116,0.24835,2.4983
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,20400,0.25185,2.5057
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,20273,0.25028,2.5666
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,20492,0.25299,2.5593
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,20423,0.25214,2.5023
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,20619,0.25456,2.5707
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,20635,0.25475,2.4847
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,20764,0.25635,2.5616
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,20826,0.25711,2.499
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,20862,0.25756,2.4934
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,20877,0.25774,2.5714
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,21040,0.25975,2.5586
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,21124,0.26079,2.4891
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,21152,0.26114,2.5656
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,21151,0.26112,2.4939
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,21337,0.26342,2.4912
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,21323,0.26325,2.5621
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,21531,0.26581,2.5565
lm-1.7B-L1-deep-seed1904,1.7B,1,deep,A,1904,21521,0.26569,2.4973
