kind,size,percent,group,mean_da,tasks
reference,1.7B,70,benchmarks,0.6130975465181253,490
reference,1.7B,70,bpb,0.986021175280873,51
reference,1.7B,80,benchmarks,0.6313124958695818,490
reference,1.7B,80,bpb,0.9832944856528902,51
reference,1.7B,90,benchmarks,0.7180755899113769,490
reference,1.7B,90,bpb,0.9939250103518906,51
reference,175M,10,benchmarks,0.4807053933619297,490
reference,175M,10,bpb,0.5447240182670887,51
reference,175M,20,benchmarks,0.4844052292911837,490
reference,175M,20,bpb,0.7411966764088417,51
reference,175M,30,benchmarks,0.4858282947755052,490
reference,175M,30,bpb,0.7971828620936252,51
reference,175M,40,benchmarks,0.48411769375012564,490
reference,175M,40,bpb,0.8665219802489881,51
reference,175M,50,benchmarks,0.4804909660904164,490
reference,175M,50,bpb,0.9004597210798267,51
reference,175M,60,benchmarks,0.4689898491776611,490
reference,175M,60,bpb,0.8193909038882632,51
reference,175M,70,benchmarks,0.4715760694799679,490
reference,175M,70,bpb,0.8623987364881556,51
reference,175M,80,benchmarks,0.4769709423808432,490
reference,175M,80,bpb,0.8883094948247015,51
reference,175M,90,benchmarks,0.47820471103421125,490
reference,175M,90,bpb,0.879823695025844,51
reference,175M,100,benchmarks,0.48475851907266576,490
reference,175M,100,bpb,0.8815598530313519,51
reference,1B,10,benchmarks,0.5145393100542529,490
reference,1B,10,bpb,0.7344162614468569,51
reference,1B,20,benchmarks,0.5240584238146947,490
reference,1B,20,bpb,0.7557639630986926,51
reference,1B,30,benchmarks,0.5344891902815072,490
reference,1B,30,bpb,0.7979978952160703,51
reference,1B,40,benchmarks,0.5276551015625066,490
reference,1B,40,bpb,0.8432718694055427,51
reference,1B,50,benchmarks,0.5248836045451007,490
reference,1B,50,bpb,0.8621913612534629,51
reference,1B,60,benchmarks,0.5431888691821085,490
reference,1B,60,bpb,0.8984353173890599,51
reference,1B,70,benchmarks,0.5384652622287677,490
reference,1B,70,bpb,0.8781653184630784,51
reference,1B,80,benchmarks,0.5433669805444304,490
reference,1B,80,bpb,0.8990400090746111,51
reference,1B,90,benchmarks,0.5558076877981155,490
reference,1B,90,bpb,0.9024687498098535,51
reference,1B,100,benchmarks,0.5586758934255301,490
reference,1B,100,bpb,0.908347219465413,51
reference,350M,10,benchmarks,0.47567329823774507,490
reference,350M,10,bpb,0.811075506408779,51
reference,350M,20,benchmarks,0.4749906992609336,490
reference,350M,20,bpb,0.8318791813419385,51
reference,350M,30,benchmarks,0.48682023530620866,490
reference,350M,30,bpb,0.8273034446818822,51
reference,350M,40,benchmarks,0.4838964513719679,490
reference,350M,40,bpb,0.8308065040445298,51
reference,350M,50,benchmarks,0.4872724335891708,490
reference,350M,50,bpb,0.8795519752039512,51
reference,350M,60,benchmarks,0.4923055264484467,490
reference,350M,60,bpb,0.8823580361779232,51
reference,350M,70,benchmarks,0.4982194685364901,490
reference,350M,70,bpb,0.85680222416245,51
reference,350M,80,benchmarks,0.4966837203535567,490
reference,350M,80,bpb,0.8730884462536257,51
reference,350M,90,benchmarks,0.49648429250943943,490
reference,350M,90,bpb,0.8976360530813271,51
reference,350M,100,benchmarks,0.5006917108466675,490
reference,350M,100,bpb,0.9068283760325282,51
reference,600M,10,benchmarks,0.468341354243294,490
reference,600M,10,bpb,0.671347086276061,51
reference,600M,20,benchmarks,0.49402098426344965,490
reference,600M,20,bpb,0.6804744925579018,51
reference,600M,30,benchmarks,0.4978854982587528,490
reference,600M,30,bpb,0.6846265134327418,51
reference,600M,40,benchmarks,0.49642151530854384,490
reference,600M,40,bpb,0.696264928303719,51
reference,600M,50,benchmarks,0.5072303860990914,490
reference,600M,50,bpb,0.6983490281614484,51
reference,600M,60,benchmarks,0.5178375885468196,490
reference,600M,60,bpb,0.7063914792789314,51
reference,600M,70,benchmarks,0.5204221160220401,490
reference,600M,70,bpb,0.6962226754204536,51
reference,600M,80,benchmarks,0.5168338984295894,490
reference,600M,80,bpb,0.7075416855010735,51
reference,600M,90,benchmarks,0.5370558234510657,490
reference,600M,90,bpb,0.705260034184638,51
reference,600M,100,benchmarks,0.5298150732154333,490
reference,600M,100,bpb,0.7045595679268962,51
