L,task,trained,reference_size,k,observed,alpha_own,alpha_pooled,pred_transfer,err_transfer,pred_last,err_last,pred_own,err_own
1,bpb_afr_Latn,False,1.7B,1,1.514037,0.18329536786522677,0.1412960670598242,1.6619869339183042,0.09771883640776555,2.291632,0.5135904868903467,,
1,bpb_afr_Latn,False,1.7B,2,1.514037,0.18329536786522677,0.1412960670598242,1.6184850403433357,0.06898645168072884,1.970483,0.3014761198042055,,
1,bpb_afr_Latn,False,1.7B,3,1.514037,0.18329536786522677,0.1412960670598242,1.592180215963787,0.05161248764976478,1.785119,0.17904582252613366,1.4386732134253968,-0.04977671389444465
1,bpb_afr_Latn,False,1.7B,4,1.514037,0.18329536786522677,0.1412960670598242,1.581211104782327,0.04436754503511267,1.669338,0.1025741114649113,1.4936423367747163,-0.013470386275423801
1,bpb_als_Latn,False,1.7B,1,2.231661,0.11056724976062128,0.14139020407186778,2.0625025391362843,-0.07579935342496713,2.844492,0.2746075680849376,,
1,bpb_als_Latn,False,1.7B,2,2.231661,0.11056724976062128,0.14139020407186778,2.06351210544978,-0.07534697005961931,2.58147,0.156748269562447,,
1,bpb_als_Latn,False,1.7B,3,2.231661,0.11056724976062128,0.14139020407186778,2.074825220009396,-0.07027760040194443,2.430418,0.08906236207022486,2.1197783700503914,-0.05013424079625379
1,bpb_als_Latn,False,1.7B,4,2.231661,0.11056724976062128,0.14139020407186778,2.101072460726645,-0.05851629762466378,2.351813,0.053839718487709395,2.1907857066941196,-0.018316085331006926
1,bpb_amh_Ethi,False,1.7B,1,1.436879,0.13511949627362382,0.14139020407186778,1.4041624935671029,-0.02276914509356539,1.936545,0.34774396452310874,,
1,bpb_amh_Ethi,False,1.7B,2,1.436879,0.13511949627362382,0.14139020407186778,1.3870180294346697,-0.034700883348793,1.713146,0.19226879925171156,,
1,bpb_amh_Ethi,False,1.7B,3,1.436879,0.13511949627362382,0.14139020407186778,1.390909144160797,-0.031992851060668986,1.620625,0.12787854788051045,1.380379203279828,-0.03932119316948185
1,bpb_amh_Ethi,False,1.7B,4,1.436879,0.13511949627362382,0.14139020407186778,1.3968335565973478,-0.027869739485824666,1.524985,0.061317619646469895,1.4087662885818588,-0.019565120944868147
1,bpb_arb_Arab,False,1.7B,1,1.128284,0.14415986752463028,0.1412960670598242,1.1157893290641123,-0.011074047789286865,1.538507,0.36358133235958323,,
1,bpb_arb_Arab,False,1.7B,2,1.128284,0.14415986752463028,0.1412960670598242,1.0897396411772227,-0.03416192981800451,1.330596,0.17930946463833558,,
1,bpb_arb_Arab,False,1.7B,3,1.128284,0.14415986752463028,0.1412960670598242,1.0883418853892008,-0.035400763115314246,1.257646,0.11465375738732445,1.0457937029488036,-0.07311128851529976
1,bpb_arb_Arab,False,1.7B,4,1.128284,0.14415986752463028,0.1412960670598242,1.0929167780895168,-0.031346028048331136,1.192927,0.05729319922998111,1.0886792094367879,-0.035101792246643754
1,bpb_ars_Arab,False,1.7B,1,1.437847,0.10095848864252546,0.14139020407186778,1.2933562360611128,-0.10049105637726911,1.783727,0.24055410624357107,,
1,bpb_ars_Arab,False,1.7B,2,1.437847,0.10095848864252546,0.14139020407186778,1.2830192673497274,-0.10768025572280827,1.59146,0.10683542824792902,,
1,bpb_ars_Arab,False,1.7B,3,1.437847,0.10095848864252546,0.14139020407186778,1.2976697698841344,-0.09749106136874486,1.538072,0.06970491297057337,1.3386759416632596,-0.0689719131011439
1,bpb_ars_Arab,False,1.7B,4,1.437847,0.10095848864252546,0.14139020407186778,1.3186866027324864,-0.0828741842960438,1.491616,0.03739549479186586,1.3930327151622002,-0.031167631074655314
1,bpb_ary_Arab,False,1.7B,1,1.211877,0.13102826850353075,0.14139020407186778,1.163280081687743,-0.04010053686327654,1.604333,0.32384144595532377,,
1,bpb_ary_Arab,False,1.7B,2,1.211877,0.13102826850353075,0.14139020407186778,1.1396933058340717,-0.059563548252775156,1.396173,0.15207483927824358,,
1,bpb_ary_Arab,False,1.7B,3,1.211877,0.13102826850353075,0.14139020407186778,1.1423582474940133,-0.05736452833578558,1.329785,0.09729370224866046,1.118038918868515,-0.07743201754921099
1,bpb_ary_Arab,False,1.7B,4,1.211877,0.13102826850353075,0.14139020407186778,1.15186981832806,-0.049515901095523784,1.272887,0.0503433929350916,1.1681751770079027,-0.03606126941273524
1,bpb_arz_Arab,False,1.7B,1,1.319903,0.11733700987973718,0.14139020407186778,1.2292281423395306,-0.06869812225630932,1.695285,0.2844012022095562,,
1,bpb_arz_Arab,False,1.7B,2,1.319903,0.11733700987973718,0.14139020407186778,1.2104900929398734,-0.08289465745598473,1.490519,0.12926404440326286,,
1,bpb_arz_Arab,False,1.7B,3,1.319903,0.11733700987973718,0.14139020407186778,1.2184182040971876,-0.07688807124676014,1.430267,0.08361523536199243,1.2208040583161264,-0.07508047309830622
1,bpb_arz_Arab,False,1.7B,4,1.319903,0.11733700987973718,0.14139020407186778,1.2330047929472376,-0.06583681304820309,1.377378,0.043544866554587676,1.2738999875944033,-0.03485332816547639
1,bpb_asm_Beng,False,1.7B,1,1.090875,0.11085630234651435,0.14139020407186778,0.9910553784355396,-0.09150417927302436,1.36681,0.25294832130170736,,
1,bpb_asm_Beng,False,1.7B,2,1.090875,0.11085630234651435,0.14139020407186778,0.9678110430154964,-0.11281215261556427,1.181764,0.08331752033917726,,
