task,L,family,kind,n_rungs,gated_rungs,gated,slope,r2,rho,n_options
belebele_ars_Arab,15,belebele,benchmark,0,5,True,,,,4.0
belebele_ars_Arab,30,belebele,benchmark,0,5,True,,,,4.0
belebele_ars_Arab,50,belebele,benchmark,0,5,True,,,,4.0
belebele_ary_Arab,15,belebele,benchmark,0,5,True,,,,4.0
belebele_ary_Arab,30,belebele,benchmark,0,5,True,,,,4.0
belebele_ary_Arab,50,belebele,benchmark,0,5,True,,,,4.0
belebele_arz_Arab,15,belebele,benchmark,0,5,True,,,,4.0
belebele_arz_Arab,30,belebele,benchmark,0,5,True,,,,4.0
belebele_arz_Arab,50,belebele,benchmark,0,5,True,,,,4.0
belebele_azj_Latn,50,belebele,benchmark,1,4,True,,,,4.0
belebele_ben_Beng,30,belebele,benchmark,1,4,True,,,,4.0
belebele_ben_Beng,50,belebele,benchmark,1,4,True,,,,4.0
belebele_ben_Latn,30,belebele,benchmark,0,5,True,,,,4.0
belebele_ben_Latn,50,belebele,benchmark,0,5,True,,,,4.0
belebele_bul_Cyrl,30,belebele,benchmark,0,5,True,,,,4.0
belebele_bul_Cyrl,50,belebele,benchmark,0,5,True,,,,4.0
belebele_cat_Latn,50,belebele,benchmark,1,4,True,,,,4.0
belebele_ces_Latn,30,belebele,benchmark,0,5,True,,,,4.0
belebele_ces_Latn,50,belebele,benchmark,0,5,True,,,,4.0
belebele_dan_Latn,30,belebele,benchmark,2,3,True,,,,4.0
belebele_dan_Latn,50,belebele,benchmark,2,3,True,,,,4.0
belebele_deu_Latn,8,belebele,benchmark,0,5,True,,,,4.0
belebele_deu_Latn,15,belebele,benchmark,0,5,True,,,,4.0
belebele_deu_Latn,30,belebele,benchmark,0,5,True,,,,4.0
belebele_deu_Latn,50,belebele,benchmark,0,5,True,,,,4.0
belebele_ell_Grek,30,belebele,benchmark,0,5,True,,,,4.0
belebele_ell_Grek,50,belebele,benchmark,0,5,True,,,,4.0
belebele_eng_Latn,1,belebele,benchmark,0,5,True,,,,4.0
belebele_eng_Latn,2,belebele,benchmark,0,5,True,,,,4.0
belebele_eng_Latn,8,belebele,benchmark,0,5,True,,,,4.0
belebele_eng_Latn,15,belebele,benchmark,0,5,True,,,,4.0
belebele_eng_Latn,30,belebele,benchmark,0,5,True,,,,4.0
belebele_eng_Latn,50,belebele,benchmark,0,5,True,,,,4.0
belebele_est_Latn,50,belebele,benchmark,0,5,True,,,,4.0
belebele_fin_Latn,30,belebele,benchmark,0,5,True,,,,4.0
belebele_fin_Latn,50,belebele,benchmark,0,5,True,,,,4.0
belebele_fra_Latn,8,belebele,benchmark,0,5,True,,,,4.0
belebele_fra_Latn,15,belebele,benchmark,0,5,True,,,,4.0
belebele_fra_Latn,30,belebele,benchmark,0,5,True,,,,4.0
belebele_fra_Latn,50,belebele,benchmark,0,5,True,,,,4.0
belebele_heb_Hebr,50,belebele,benchmark,1,4,True,,,,4.0
belebele_hin_Deva,30,belebele,benchmark,0,5,True,,,,4.0
belebele_hin_Deva,50,belebele,benchmark,0,5,True,,,,4.0
belebele_hin_Latn,30,belebele,benchmark,0,5,True,,,,4.0
belebele_hin_Latn,50,belebele,benchmark,0,5,True,,,,4.0
