intervention,label,population,L,proxy_size,frac,reference_size,n_items,decision_acc,n_decided,decision_acc_decided,mean_abs_delta_proxy,mean_abs_delta_ref,reference_prefers
arch,depth (deep vs shallow),benchmark,1,1B,1.0,1.7B,89,0.5617977528089888,22,0.6363636363636364,0.0466064719101123,0.0596297191011236,deep
arch,depth (deep vs shallow),bpb_macro,1,175M,0.1,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,1,350M,0.1,1.7B,1,0.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,1,600M,0.1,1.7B,1,0.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,1,1B,0.1,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,1,1.7B,0.1,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,1,175M,0.2,1.7B,1,0.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,1,350M,0.2,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,1,600M,0.2,1.7B,1,0.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,1,1B,0.2,1.7B,1,0.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,1,1.7B,0.2,1.7B,1,0.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,1,175M,0.3,1.7B,1,0.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,1,350M,0.3,1.7B,1,0.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,1,600M,0.3,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,1,1B,0.3,1.7B,1,0.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,1,1.7B,0.3,1.7B,1,0.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,1,175M,0.4,1.7B,1,0.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,1,350M,0.4,1.7B,1,0.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,1,600M,0.4,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,1,1B,0.4,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,1,1.7B,0.4,1.7B,1,0.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,1,175M,0.5,1.7B,1,0.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,1,350M,0.5,1.7B,1,0.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,1,600M,0.5,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,1,1B,0.5,1.7B,1,0.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,1,1.7B,0.5,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,1,175M,0.6,1.7B,1,1.0,0,,,,
