intervention,label,population,proxy_size,frac,da,cells,items,refs
arch,depth (deep vs shallow),bpb_macro,175M,0.4,0.6666666666666666,6,6,1.7B
arch,depth (deep vs shallow),bpb_macro,175M,0.5,0.6666666666666666,6,6,1.7B
arch,depth (deep vs shallow),bpb_macro,175M,0.6,0.8333333333333334,6,6,1.7B
arch,depth (deep vs shallow),bpb_macro,175M,0.7,0.5,6,6,1.7B
arch,depth (deep vs shallow),bpb_macro,175M,0.8,0.8333333333333334,6,6,1.7B
arch,depth (deep vs shallow),bpb_macro,175M,0.9,0.8333333333333334,6,6,1.7B
arch,depth (deep vs shallow),bpb_macro,175M,1.0,0.8333333333333334,6,6,1.7B
arch,depth (deep vs shallow),bpb_macro,1B,0.1,0.5,6,6,1.7B
arch,depth (deep vs shallow),bpb_macro,1B,0.2,0.3333333333333333,6,6,1.7B
arch,depth (deep vs shallow),bpb_macro,1B,0.3,0.5,6,6,1.7B
arch,depth (deep vs shallow),bpb_macro,1B,0.4,0.5,6,6,1.7B
arch,depth (deep vs shallow),bpb_macro,1B,0.5,0.8333333333333334,6,6,1.7B
arch,depth (deep vs shallow),bpb_macro,1B,0.6,0.3333333333333333,6,6,1.7B
arch,depth (deep vs shallow),bpb_macro,1B,0.7,0.3333333333333333,6,6,1.7B
arch,depth (deep vs shallow),bpb_macro,1B,0.8,0.3333333333333333,6,6,1.7B
arch,depth (deep vs shallow),bpb_macro,1B,0.9,0.6666666666666666,6,6,1.7B
arch,depth (deep vs shallow),bpb_macro,1B,1.0,0.5,6,6,1.7B
arch,depth (deep vs shallow),bpb_macro,350M,0.1,0.3333333333333333,6,6,1.7B
arch,depth (deep vs shallow),bpb_macro,350M,0.2,0.5,6,6,1.7B
arch,depth (deep vs shallow),bpb_macro,350M,0.3,0.5,6,6,1.7B
arch,depth (deep vs shallow),bpb_macro,350M,0.4,0.5,6,6,1.7B
arch,depth (deep vs shallow),bpb_macro,350M,0.5,0.3333333333333333,6,6,1.7B
arch,depth (deep vs shallow),bpb_macro,350M,0.6,0.6666666666666666,6,6,1.7B
arch,depth (deep vs shallow),bpb_macro,350M,0.7,0.5,6,6,1.7B
arch,depth (deep vs shallow),bpb_macro,350M,0.8,0.5,6,6,1.7B
arch,depth (deep vs shallow),bpb_macro,350M,0.9,0.5,6,6,1.7B
arch,depth (deep vs shallow),bpb_macro,350M,1.0,0.6666666666666666,6,6,1.7B
arch,depth (deep vs shallow),bpb_macro,600M,0.1,0.3333333333333333,6,6,1.7B
arch,depth (deep vs shallow),bpb_macro,600M,0.2,0.16666666666666666,6,6,1.7B
arch,depth (deep vs shallow),bpb_macro,600M,0.3,0.16666666666666666,6,6,1.7B
arch,depth (deep vs shallow),bpb_macro,600M,0.4,0.3333333333333333,6,6,1.7B
arch,depth (deep vs shallow),bpb_macro,600M,0.5,0.3333333333333333,6,6,1.7B
arch,depth (deep vs shallow),bpb_macro,600M,0.6,0.3333333333333333,6,6,1.7B
arch,depth (deep vs shallow),bpb_macro,600M,0.7,0.5,6,6,1.7B
arch,depth (deep vs shallow),bpb_macro,600M,0.8,0.3333333333333333,6,6,1.7B
arch,depth (deep vs shallow),bpb_macro,600M,0.9,0.3333333333333333,6,6,1.7B
arch,depth (deep vs shallow),bpb_macro,600M,1.0,0.3333333333333333,6,6,1.7B
arch,depth (deep vs shallow),bpb_trained,1.7B,0.1,0.69,4,103,1.7B
arch,depth (deep vs shallow),bpb_trained,1.7B,0.2,0.98,4,103,1.7B
arch,depth (deep vs shallow),bpb_trained,1.7B,0.3,1.0,4,103,1.7B
arch,depth (deep vs shallow),bpb_trained,1.7B,0.4,1.0,4,103,1.7B
arch,depth (deep vs shallow),bpb_trained,1.7B,0.5,1.0,4,103,1.7B
arch,depth (deep vs shallow),bpb_trained,1.7B,0.6,0.9916666666666667,4,103,1.7B
arch,depth (deep vs shallow),bpb_trained,1.7B,0.7,1.0,4,103,1.7B
arch,depth (deep vs shallow),bpb_trained,1.7B,0.8,1.0,4,103,1.7B
arch,depth (deep vs shallow),bpb_trained,1.7B,0.9,1.0,4,103,1.7B
arch,depth (deep vs shallow),bpb_trained,175M,0.1,0.91,4,103,1.7B
arch,depth (deep vs shallow),bpb_trained,175M,0.2,0.5,4,103,1.7B
arch,depth (deep vs shallow),bpb_trained,175M,0.3,1.0,4,103,1.7B
arch,depth (deep vs shallow),bpb_trained,175M,0.4,0.995,4,103,1.7B
arch,depth (deep vs shallow),bpb_trained,175M,0.5,1.0,4,103,1.7B
arch,depth (deep vs shallow),bpb_trained,175M,0.6,1.0,4,103,1.7B
arch,depth (deep vs shallow),bpb_trained,175M,0.7,0.75,4,103,1.7B
arch,depth (deep vs shallow),bpb_trained,175M,0.8,1.0,4,103,1.7B
arch,depth (deep vs shallow),bpb_trained,175M,0.9,1.0,4,103,1.7B
arch,depth (deep vs shallow),bpb_trained,175M,1.0,1.0,4,103,1.7B
arch,depth (deep vs shallow),bpb_trained,1B,0.1,0.26666666666666666,4,103,1.7B
arch,depth (deep vs shallow),bpb_trained,1B,0.2,0.28291666666666665,4,103,1.7B
arch,depth (deep vs shallow),bpb_trained,1B,0.3,0.5433333333333333,4,103,1.7B
arch,depth (deep vs shallow),bpb_trained,1B,0.4,0.8333333333333333,4,103,1.7B
arch,depth (deep vs shallow),bpb_trained,1B,0.5,0.8533333333333333,4,103,1.7B
arch,depth (deep vs shallow),bpb_trained,1B,0.6,0.8683333333333333,4,103,1.7B
arch,depth (deep vs shallow),bpb_trained,1B,0.7,0.8983333333333333,4,103,1.7B
arch,depth (deep vs shallow),bpb_trained,1B,0.8,0.9233333333333333,4,103,1.7B
arch,depth (deep vs shallow),bpb_trained,1B,0.9,0.935,4,103,1.7B
arch,depth (deep vs shallow),bpb_trained,1B,1.0,0.9450000000000001,4,103,1.7B
arch,depth (deep vs shallow),bpb_trained,350M,0.1,0.2466666666666667,4,103,1.7B
arch,depth (deep vs shallow),bpb_trained,350M,0.2,0.2566666666666667,4,103,1.7B
arch,depth (deep vs shallow),bpb_trained,350M,0.3,0.19666666666666668,4,103,1.7B
arch,depth (deep vs shallow),bpb_trained,350M,0.4,0.16999999999999998,4,103,1.7B
arch,depth (deep vs shallow),bpb_trained,350M,0.5,0.3566666666666667,4,103,1.7B
arch,depth (deep vs shallow),bpb_trained,350M,0.6,0.44958333333333333,4,103,1.7B
arch,depth (deep vs shallow),bpb_trained,350M,0.7,0.28833333333333333,4,103,1.7B
arch,depth (deep vs shallow),bpb_trained,350M,0.8,0.31333333333333335,4,103,1.7B
arch,depth (deep vs shallow),bpb_trained,350M,0.9,0.4375,4,103,1.7B
arch,depth (deep vs shallow),bpb_trained,350M,1.0,0.4891666666666667,4,103,1.7B
arch,depth (deep vs shallow),bpb_trained,600M,0.1,0.1875,4,103,1.7B
arch,depth (deep vs shallow),bpb_trained,600M,0.2,0.0,4,103,1.7B
arch,depth (deep vs shallow),bpb_trained,600M,0.3,0.0,4,103,1.7B
arch,depth (deep vs shallow),bpb_trained,600M,0.4,0.0,4,103,1.7B
arch,depth (deep vs shallow),bpb_trained,600M,0.5,0.0,4,103,1.7B
arch,depth (deep vs shallow),bpb_trained,600M,0.6,0.0,4,103,1.7B
arch,depth (deep vs shallow),bpb_trained,600M,0.7,0.0,4,103,1.7B
arch,depth (deep vs shallow),bpb_trained,600M,0.8,0.005,4,103,1.7B
arch,depth (deep vs shallow),bpb_trained,600M,0.9,0.0,4,103,1.7B
arch,depth (deep vs shallow),bpb_trained,600M,1.0,0.0,4,103,1.7B
arch,depth (deep vs shallow),loss,1.7B,0.1,1.0,6,6,1.7B
arch,depth (deep vs shallow),loss,1.7B,0.2,0.8333333333333334,6,6,1.7B
arch,depth (deep vs shallow),loss,1.7B,0.3,1.0,6,6,1.7B
arch,depth (deep vs shallow),loss,1.7B,0.4,0.3333333333333333,6,6,1.7B
arch,depth (deep vs shallow),loss,1.7B,0.5,0.8333333333333334,6,6,1.7B
arch,depth (deep vs shallow),loss,1.7B,0.6,0.6666666666666666,6,6,1.7B
arch,depth (deep vs shallow),loss,1.7B,0.7,1.0,6,6,1.7B
arch,depth (deep vs shallow),loss,1.7B,0.8,1.0,6,6,1.7B
arch,depth (deep vs shallow),loss,1.7B,0.9,0.8333333333333334,6,6,1.7B
arch,depth (deep vs shallow),loss,175M,0.1,0.8333333333333334,6,6,1.7B
arch,depth (deep vs shallow),loss,175M,0.2,0.3333333333333333,6,6,1.7B
arch,depth (deep vs shallow),loss,175M,0.3,0.8333333333333334,6,6,1.7B
arch,depth (deep vs shallow),loss,175M,0.4,0.8333333333333334,6,6,1.7B
arch,depth (deep vs shallow),loss,175M,0.5,0.8333333333333334,6,6,1.7B
arch,depth (deep vs shallow),loss,175M,0.6,0.8333333333333334,6,6,1.7B
arch,depth (deep vs shallow),loss,175M,0.7,0.6666666666666666,6,6,1.7B
arch,depth (deep vs shallow),loss,175M,0.8,1.0,6,6,1.7B
arch,depth (deep vs shallow),loss,175M,0.9,1.0,6,6,1.7B
arch,depth (deep vs shallow),loss,175M,1.0,1.0,6,6,1.7B
arch,depth (deep vs shallow),loss,1B,0.1,0.6666666666666666,6,6,1.7B
arch,depth (deep vs shallow),loss,1B,0.2,0.8333333333333334,6,6,1.7B
arch,depth (deep vs shallow),loss,1B,0.3,1.0,6,6,1.7B
arch,depth (deep vs shallow),loss,1B,0.4,0.5,6,6,1.7B
arch,depth (deep vs shallow),loss,1B,0.5,0.8333333333333334,6,6,1.7B
arch,depth (deep vs shallow),loss,1B,0.6,0.8333333333333334,6,6,1.7B
arch,depth (deep vs shallow),loss,1B,0.7,0.3333333333333333,6,6,1.7B
arch,depth (deep vs shallow),loss,1B,0.8,0.5,6,6,1.7B
arch,depth (deep vs shallow),loss,1B,0.9,0.16666666666666666,6,6,1.7B
arch,depth (deep vs shallow),loss,1B,1.0,0.3333333333333333,6,6,1.7B
arch,depth (deep vs shallow),loss,350M,0.1,0.16666666666666666,6,6,1.7B
arch,depth (deep vs shallow),loss,350M,0.2,0.0,6,6,1.7B
arch,depth (deep vs shallow),loss,350M,0.3,0.5,6,6,1.7B
arch,depth (deep vs shallow),loss,350M,0.4,0.16666666666666666,6,6,1.7B
arch,depth (deep vs shallow),loss,350M,0.5,0.6666666666666666,6,6,1.7B
arch,depth (deep vs shallow),loss,350M,0.6,0.8333333333333334,6,6,1.7B
arch,depth (deep vs shallow),loss,350M,0.7,0.16666666666666666,6,6,1.7B
arch,depth (deep vs shallow),loss,350M,0.8,0.3333333333333333,6,6,1.7B
arch,depth (deep vs shallow),loss,350M,0.9,0.5,6,6,1.7B
arch,depth (deep vs shallow),loss,350M,1.0,0.6666666666666666,6,6,1.7B
arch,depth (deep vs shallow),loss,600M,0.1,0.16666666666666666,6,6,1.7B
arch,depth (deep vs shallow),loss,600M,0.2,0.3333333333333333,6,6,1.7B
arch,depth (deep vs shallow),loss,600M,0.3,0.16666666666666666,6,6,1.7B
arch,depth (deep vs shallow),loss,600M,0.4,0.16666666666666666,6,6,1.7B
arch,depth (deep vs shallow),loss,600M,0.5,0.16666666666666666,6,6,1.7B
arch,depth (deep vs shallow),loss,600M,0.6,0.3333333333333333,6,6,1.7B
arch,depth (deep vs shallow),loss,600M,0.7,0.16666666666666666,6,6,1.7B
arch,depth (deep vs shallow),loss,600M,0.8,0.16666666666666666,6,6,1.7B
arch,depth (deep vs shallow),loss,600M,0.9,0.5,6,6,1.7B
arch,depth (deep vs shallow),loss,600M,1.0,0.16666666666666666,6,6,1.7B
scheme,language lists (A vs B),benchmark,1.7B,0.1,0.46651523987045845,3,864,1.7B
scheme,language lists (A vs B),benchmark,1.7B,0.2,0.4487136966188002,3,864,1.7B
scheme,language lists (A vs B),benchmark,1.7B,0.3,0.48853191504132343,3,864,1.7B
scheme,language lists (A vs B),benchmark,1.7B,0.4,0.594804802615822,3,864,1.7B
scheme,language lists (A vs B),benchmark,1.7B,0.5,0.5282278639189428,3,864,1.7B
scheme,language lists (A vs B),benchmark,1.7B,0.6,0.5849821932500964,3,864,1.7B
scheme,language lists (A vs B),benchmark,1.7B,0.7,0.5383621781855165,3,864,1.7B
scheme,language lists (A vs B),benchmark,1.7B,0.8,0.5682290961599206,3,864,1.7B
scheme,language lists (A vs B),benchmark,1.7B,0.9,0.7116405119180266,3,864,1.7B
scheme,language lists (A vs B),benchmark,175M,0.1,0.41524993665240045,3,864,1.7B
scheme,language lists (A vs B),benchmark,175M,0.2,0.4348460392998094,3,864,1.7B
scheme,language lists (A vs B),benchmark,175M,0.3,0.44618005296900654,3,864,1.7B
scheme,language lists (A vs B),benchmark,175M,0.4,0.44385085718847733,3,864,1.7B
scheme,language lists (A vs B),benchmark,175M,0.5,0.46853785062462466,3,864,1.7B
