trained,k,transfer,own,last,n
False,1,0.06720839444558441,,0.35844370775671186,494
False,2,0.064500204625935,,0.16281038783094032,494
False,3,0.058010516342674415,0.058184005962309354,0.10244058576735379,494
False,4,0.05096967535163902,0.032307066417250487,0.06479853000282898,359
True,1,0.033579820831942137,,0.45352141805179935,106
True,2,0.023707017102190725,,0.19421779601924305,106
True,3,0.02113537070525284,0.05130220274503368,0.09424636036258001,106
True,4,0.021495755702626292,0.0446069469494536,0.0730288310832353,41
