task,family,language,n_size_fits,r2_size,rho_size,n_trajectory_fits,r2_trajectory,regime
rfgm_include_base_44_korean,rfgm_include_base_44,ko,2,0.9177079161011472,0.8999999999999999,8,0.7255265771597779,predictable across both
rfgm_include_base_44_polish,rfgm_include_base_44,pl,3,0.8697236418002119,1.0,9,0.6017881929550546,predictable across both
rfgm_include_base_44_portuguese,rfgm_include_base_44,pt,3,0.7542012002102435,0.7999999999999999,12,0.6231990947454377,predictable across both
rfgm_include_base_44_russian,rfgm_include_base_44,ru,5,0.939602225658886,1.0,20,0.7919265811412948,predictable across both
rfgm_include_base_44_spanish,rfgm_include_base_44,es,4,0.9922175667304773,1.0,16,0.8609788348245084,predictable across both
rfgm_include_base_44_ukrainian,rfgm_include_base_44,uk,2,0.9716201966129465,1.0,8,0.8330380987488717,predictable across both
rfgm_include_base_44_vietnamese,rfgm_include_base_44,vi,3,0.9370706505823552,1.0,9,0.4988829688077039,predictable across size only
xcopa_id,xcopa,id,3,0.9609836390566816,1.0,15,0.6922828640587981,predictable across both
xcopa_it,xcopa,it,4,0.9618463718745482,1.0,16,0.7767550390075308,predictable across both
xcopa_th,xcopa,th,2,0.20544934531618364,0.3551956704170308,10,0.07834415522692495,weak / unpredictable in both
xcopa_tr,xcopa,tr,2,0.4021167307283148,0.5999999999999999,10,0.26083230640054167,weak / unpredictable in both
xcopa_vi,xcopa,vi,3,0.885613940491078,0.7999999999999999,12,0.8241317566478579,predictable across both
xcopa_zh,xcopa,zh,4,0.9296423859727886,1.0,16,0.7703740193932771,predictable across both
xnli_bg,xnli,bg,2,0.8891093879019603,0.8999999999999998,10,0.7213634241649415,predictable across both
xnli_de,xnli,de,4,0.9020349945613542,1.0,16,0.8344472482586327,predictable across both
xnli_el,xnli,el,2,0.5836990817783807,0.7999999999999999,8,0.5451708434658324,predictable across both
xnli_en,xnli,en,6,0.8760220676431067,0.8999999999999998,30,0.7039919126024485,predictable across both
xnli_es,xnli,es,4,0.8942191262973403,0.8999999999999998,20,0.560339923162158,predictable across both
xnli_fr,xnli,fr,4,0.9159679823714733,1.0,20,0.7649830465640792,predictable across both
xnli_hi,xnli,hi,2,0.9639572901770697,1.0,8,0.7159018692929987,predictable across both
xnli_ru,xnli,ru,5,0.9167125613848344,1.0,25,0.829969478379417,predictable across both
xnli_th,xnli,th,2,0.7105514336830677,0.7,8,0.7716634367655328,predictable across both
xnli_tr,xnli,tr,2,0.9013424069629288,0.8999999999999999,8,0.8235894607109779,predictable across both
xnli_vi,xnli,vi,3,0.722629159223495,0.8999999999999998,15,0.5141146532824868,predictable across both
xstorycloze_ar,xstorycloze,ar,3,0.9916058747645102,1.0,9,0.8596512450594725,predictable across both
xstorycloze_en,xstorycloze,en,6,0.9897006709939977,1.0,30,0.9329193042045756,predictable across both
xstorycloze_es,xstorycloze,es,4,0.9912389832221785,1.0,16,0.951946842819011,predictable across both
xstorycloze_hi,xstorycloze,hi,2,0.8768194437540444,0.8999999999999999,8,0.7254635603152931,predictable across both
xstorycloze_id,xstorycloze,id,3,0.9823036485464456,1.0,12,0.9029346725445595,predictable across both
xstorycloze_ru,xstorycloze,ru,5,0.9813879337129098,1.0,20,0.9491805920054817,predictable across both
xstorycloze_zh,xstorycloze,zh,4,0.9898249456930144,1.0,16,0.9177353108914793,predictable across both
xwinograd_en,xwinograd,en,6,0.9888424753962652,1.0,30,0.9404186160954693,predictable across both
xwinograd_fr,xwinograd,fr,4,0.8230055770743379,0.75,12,0.49189266045156527,predictable across size only
xwinograd_jp,xwinograd,ja,4,0.9911729124464941,1.0,16,0.8693714123671589,predictable across both
xwinograd_pt,xwinograd,pt,3,0.9280432351811184,1.0,12,0.7906633277592294,predictable across both
xwinograd_ru,xwinograd,ru,5,0.8427927393419853,0.7999999999999999,20,0.49687024660317675,predictable across size only
xwinograd_zh,xwinograd,zh,4,0.9500948571588772,1.0,20,0.7088097875312217,predictable across both
